image_id,local_filename,image_url,sok_url,arkiv,serie,referenskod,datering,anmärkning,pid,referenskod_ead,arkivenhetstyp,titel,match_key,CLASS-1,CLASS-2,SCORE-1,SCORE-2
R0001209_00003,R0001209_00003.jpg,https://lbiiif.riksarkivet.se/arkis!R0001209_00003/full/max/0/default.jpg,https://sok.riksarkivet.se/bildvisning/R0001209_00003,Kommission i Dalarna ang trolldomsväsendet,Kommission i Dalarna ang trolldomsväsendet,SE/RA/310180A/1 ,1670-1671,"Skrivelse angående präster förordade att deltaga i kommissionsrannsakningarna i Leksand och Rättvik, från Västeråsbiskopen Nicolaus Rudbeckius (1670). 
Skrivelse från allmogen i Åls socken 7 januari 1671. ",d1b3cucWIKMBUxPR00NZt1,SE/RA/310180A/1,Serie,1670--1671,R0001209_00003,TEXT_HW,TEXT,1.0,0.0
R0001209_00004,R0001209_00004.jpg,https://lbiiif.riksarkivet.se/arkis!R0001209_00004/full/max/0/default.jpg,https://sok.riksarkivet.se/bildvisning/R0001209_00004,Kommission i Dalarna ang trolldomsväsendet,Kommission i Dalarna ang trolldomsväsendet,SE/RA/310180A/1 ,1670-1671,"Skrivelse angående präster förordade att deltaga i kommissionsrannsakningarna i Leksand och Rättvik, från Västeråsbiskopen Nicolaus Rudbeckius (1670). 
Skrivelse från allmogen i Åls socken 7 januari 1671. ",d1b3cucWIKMBUxPR00NZt1,SE/RA/310180A/1,Serie,1670--1671,R0001209_00004,TEXT_HW,TEXT,1.0,0.0
R0001209_00005,R0001209_00005.jpg,https://lbiiif.riksarkivet.se/arkis!R0001209_00005/full/max/0/default.jpg,https://sok.riksarkivet.se/bildvisning/R0001209_00005,Kommission i Dalarna ang trolldomsväsendet,Kommission i Dalarna ang trolldomsväsendet,SE/RA/310180A/1 ,1670-1671,"Skrivelse angående präster förordade att deltaga i kommissionsrannsakningarna i Leksand och Rättvik, från Västeråsbiskopen Nicolaus Rudbeckius (1670). 
Skrivelse från allmogen i Åls socken 7 januari 1671. ",d1b3cucWIKMBUxPR00NZt1,SE/RA/310180A/1,Serie,1670--1671,R0001209_00005,TEXT_HW,TEXT,1.0,0.0
R0001209_00006,R0001209_00006.jpg,https://lbiiif.riksarkivet.se/arkis!R0001209_00006/full/max/0/default.jpg,https://sok.riksarkivet.se/bildvisning/R0001209_00006,Kommission i Dalarna ang trolldomsväsendet,Kommission i Dalarna ang trolldomsväsendet,SE/RA/310180A/1 ,1670-1671,"Skrivelse angående präster förordade att deltaga i kommissionsrannsakningarna i Leksand och Rättvik, från Västeråsbiskopen Nicolaus Rudbeckius (1670). 
Skrivelse från allmogen i Åls socken 7 januari 1671. ",d1b3cucWIKMBUxPR00NZt1,SE/RA/310180A/1,Serie,1670--1671,R0001209_00006,MISC,DRAW,1.0,0.0
R0001209_00007,R0001209_00007.jpg,https://lbiiif.riksarkivet.se/arkis!R0001209_00007/full/max/0/default.jpg,https://sok.riksarkivet.se/bildvisning/R0001209_00007,Kommission i Dalarna ang trolldomsväsendet,Kommission i Dalarna ang trolldomsväsendet,SE/RA/310180A/1 ,1670-1671,"Skrivelse angående präster förordade att deltaga i kommissionsrannsakningarna i Leksand och Rättvik, från Västeråsbiskopen Nicolaus Rudbeckius (1670). 
Skrivelse från allmogen i Åls socken 7 januari 1671. ",d1b3cucWIKMBUxPR00NZt1,SE/RA/310180A/1,Serie,1670--1671,R0001209_00007,MISC,PHOTO,1.0,0.0
R0001213_00079,R0001213_00079.jpg,https://lbiiif.riksarkivet.se/arkis!R0001213_00079/full/max/0/default.jpg,https://sok.riksarkivet.se/bildvisning/R0001213_00079,Kommissorialrätt i Bohus län ang trolldomsväsendet,Kommissorialrätt i Bohus län ang trolldomsväsendet,SE/RA/310181/1 ,1670-1671,"Protokoll 16 juni - 10 juli 1671.
Handlingar. Innehåller bl.a. rättegångsprotokoll från rådhusrätten i Uddevalla (utdrag) 6 juli 1670 och 3 januari 1671 och från extraordinarie häradsnämnd 6 och 14 september 1671.
Handlingar ang. M. Gripenklous rannsakning 1670.
Domar 15 februari och 10 - 11, 15 - 18 november 1671 (tingsrätt)",5VzMhD2TFgTARg209ZPrK2,SE/RA/310181/1,Serie,1670--1671,R0001213_00079,TEXT_HW,TEXT,1.0,0.0
R0001213_00130,R0001213_00130.jpg,https://lbiiif.riksarkivet.se/arkis!R0001213_00130/full/max/0/default.jpg,https://sok.riksarkivet.se/bildvisning/R0001213_00130,Kommissorialrätt i Bohus län ang trolldomsväsendet,Kommissorialrätt i Bohus län ang trolldomsväsendet,SE/RA/310181/1 ,1670-1671,"Protokoll 16 juni - 10 juli 1671.
Handlingar. Innehåller bl.a. rättegångsprotokoll från rådhusrätten i Uddevalla (utdrag) 6 juli 1670 och 3 januari 1671 och från extraordinarie häradsnämnd 6 och 14 september 1671.
Handlingar ang. M. Gripenklous rannsakning 1670.
Domar 15 februari och 10 - 11, 15 - 18 november 1671 (tingsrätt)",5VzMhD2TFgTARg209ZPrK2,SE/RA/310181/1,Serie,1670--1671,R0001213_00130,TEXT_HW,TEXT,1.0,0.0
R0001213_00082,R0001213_00082.jpg,https://lbiiif.riksarkivet.se/arkis!R0001213_00082/full/max/0/default.jpg,https://sok.riksarkivet.se/bildvisning/R0001213_00082,Kommissorialrätt i Bohus län ang trolldomsväsendet,Kommissorialrätt i Bohus län ang trolldomsväsendet,SE/RA/310181/1 ,1670-1671,"Protokoll 16 juni - 10 juli 1671.
Handlingar. Innehåller bl.a. rättegångsprotokoll från rådhusrätten i Uddevalla (utdrag) 6 juli 1670 och 3 januari 1671 och från extraordinarie häradsnämnd 6 och 14 september 1671.
Handlingar ang. M. Gripenklous rannsakning 1670.
Domar 15 februari och 10 - 11, 15 - 18 november 1671 (tingsrätt)",5VzMhD2TFgTARg209ZPrK2,SE/RA/310181/1,Serie,1670--1671,R0001213_00082,MISC,PHOTO,1.0,0.0
R0001213_00024,R0001213_00024.jpg,https://lbiiif.riksarkivet.se/arkis!R0001213_00024/full/max/0/default.jpg,https://sok.riksarkivet.se/bildvisning/R0001213_00024,Kommissorialrätt i Bohus län ang trolldomsväsendet,Kommissorialrätt i Bohus län ang trolldomsväsendet,SE/RA/310181/1 ,1670-1671,"Protokoll 16 juni - 10 juli 1671.
Handlingar. Innehåller bl.a. rättegångsprotokoll från rådhusrätten i Uddevalla (utdrag) 6 juli 1670 och 3 januari 1671 och från extraordinarie häradsnämnd 6 och 14 september 1671.
Handlingar ang. M. Gripenklous rannsakning 1670.
Domar 15 februari och 10 - 11, 15 - 18 november 1671 (tingsrätt)",5VzMhD2TFgTARg209ZPrK2,SE/RA/310181/1,Serie,1670--1671,R0001213_00024,TEXT_HW,TEXT,1.0,0.0
R0001213_00090,R0001213_00090.jpg,https://lbiiif.riksarkivet.se/arkis!R0001213_00090/full/max/0/default.jpg,https://sok.riksarkivet.se/bildvisning/R0001213_00090,Kommissorialrätt i Bohus län ang trolldomsväsendet,Kommissorialrätt i Bohus län ang trolldomsväsendet,SE/RA/310181/1 ,1670-1671,"Protokoll 16 juni - 10 juli 1671.
Handlingar. Innehåller bl.a. rättegångsprotokoll från rådhusrätten i Uddevalla (utdrag) 6 juli 1670 och 3 januari 1671 och från extraordinarie häradsnämnd 6 och 14 september 1671.
Handlingar ang. M. Gripenklous rannsakning 1670.
Domar 15 februari och 10 - 11, 15 - 18 november 1671 (tingsrätt)",5VzMhD2TFgTARg209ZPrK2,SE/RA/310181/1,Serie,1670--1671,R0001213_00090,TEXT_HW,TEXT,1.0,0.0
R0001213_00136,R0001213_00136.jpg,https://lbiiif.riksarkivet.se/arkis!R0001213_00136/full/max/0/default.jpg,https://sok.riksarkivet.se/bildvisning/R0001213_00136,Kommissorialrätt i Bohus län ang trolldomsväsendet,Kommissorialrätt i Bohus län ang trolldomsväsendet,SE/RA/310181/1 ,1670-1671,"Protokoll 16 juni - 10 juli 1671.
Handlingar. Innehåller bl.a. rättegångsprotokoll från rådhusrätten i Uddevalla (utdrag) 6 juli 1670 och 3 januari 1671 och från extraordinarie häradsnämnd 6 och 14 september 1671.
Handlingar ang. M. Gripenklous rannsakning 1670.
Domar 15 februari och 10 - 11, 15 - 18 november 1671 (tingsrätt)",5VzMhD2TFgTARg209ZPrK2,SE/RA/310181/1,Serie,1670--1671,R0001213_00136,TEXT_HW,TEXT,1.0,0.0
R0001213_00026,R0001213_00026.jpg,https://lbiiif.riksarkivet.se/arkis!R0001213_00026/full/max/0/default.jpg,https://sok.riksarkivet.se/bildvisning/R0001213_00026,Kommissorialrätt i Bohus län ang trolldomsväsendet,Kommissorialrätt i Bohus län ang trolldomsväsendet,SE/RA/310181/1 ,1670-1671,"Protokoll 16 juni - 10 juli 1671.
Handlingar. Innehåller bl.a. rättegångsprotokoll från rådhusrätten i Uddevalla (utdrag) 6 juli 1670 och 3 januari 1671 och från extraordinarie häradsnämnd 6 och 14 september 1671.
Handlingar ang. M. Gripenklous rannsakning 1670.
Domar 15 februari och 10 - 11, 15 - 18 november 1671 (tingsrätt)",5VzMhD2TFgTARg209ZPrK2,SE/RA/310181/1,Serie,1670--1671,R0001213_00026,TEXT_HW,TEXT,1.0,0.0
R0001213_00129,R0001213_00129.jpg,https://lbiiif.riksarkivet.se/arkis!R0001213_00129/full/max/0/default.jpg,https://sok.riksarkivet.se/bildvisning/R0001213_00129,Kommissorialrätt i Bohus län ang trolldomsväsendet,Kommissorialrätt i Bohus län ang trolldomsväsendet,SE/RA/310181/1 ,1670-1671,"Protokoll 16 juni - 10 juli 1671.
Handlingar. Innehåller bl.a. rättegångsprotokoll från rådhusrätten i Uddevalla (utdrag) 6 juli 1670 och 3 januari 1671 och från extraordinarie häradsnämnd 6 och 14 september 1671.
Handlingar ang. M. Gripenklous rannsakning 1670.
Domar 15 februari och 10 - 11, 15 - 18 november 1671 (tingsrätt)",5VzMhD2TFgTARg209ZPrK2,SE/RA/310181/1,Serie,1670--1671,R0001213_00129,TEXT_HW,TEXT,1.0,0.0
R0001234_00046,R0001234_00046.jpg,https://lbiiif.riksarkivet.se/arkis!R0001234_00046/full/max/0/default.jpg,https://sok.riksarkivet.se/bildvisning/R0001234_00046,Kommission i Hälsingland ang trolldomsväsendet,Kommission i Hälsingland ang trolldomsväsendet,SE/RA/310182/1 ,1673,"Protokoll 11 - 14 februari 1673. Handlingar. Innehåller bl.a. votum och domar.
Skrivelse till Kungl. Maj:t och till rikskanslern 1673.",xyGE9XOnZIDLzcfX9MCDY9,SE/RA/310182/1,Serie,1673,R0001234_00046,TEXT_HW,TEXT,1.0,0.0
R0001234_00008,R0001234_00008.jpg,https://lbiiif.riksarkivet.se/arkis!R0001234_00008/full/max/0/default.jpg,https://sok.riksarkivet.se/bildvisning/R0001234_00008,Kommission i Hälsingland ang trolldomsväsendet,Kommission i Hälsingland ang trolldomsväsendet,SE/RA/310182/1 ,1673,"Protokoll 11 - 14 februari 1673. Handlingar. Innehåller bl.a. votum och domar.
Skrivelse till Kungl. Maj:t och till rikskanslern 1673.",xyGE9XOnZIDLzcfX9MCDY9,SE/RA/310182/1,Serie,1673,R0001234_00008,TEXT_HW,TEXT,1.0,0.0
R0001234_00049,R0001234_00049.jpg,https://lbiiif.riksarkivet.se/arkis!R0001234_00049/full/max/0/default.jpg,https://sok.riksarkivet.se/bildvisning/R0001234_00049,Kommission i Hälsingland ang trolldomsväsendet,Kommission i Hälsingland ang trolldomsväsendet,SE/RA/310182/1 ,1673,"Protokoll 11 - 14 februari 1673. Handlingar. Innehåller bl.a. votum och domar.
Skrivelse till Kungl. Maj:t och till rikskanslern 1673.",xyGE9XOnZIDLzcfX9MCDY9,SE/RA/310182/1,Serie,1673,R0001234_00049,TEXT_HW,TEXT,1.0,0.0
R0001234_00009,R0001234_00009.jpg,https://lbiiif.riksarkivet.se/arkis!R0001234_00009/full/max/0/default.jpg,https://sok.riksarkivet.se/bildvisning/R0001234_00009,Kommission i Hälsingland ang trolldomsväsendet,Kommission i Hälsingland ang trolldomsväsendet,SE/RA/310182/1 ,1673,"Protokoll 11 - 14 februari 1673. Handlingar. Innehåller bl.a. votum och domar.
Skrivelse till Kungl. Maj:t och till rikskanslern 1673.",xyGE9XOnZIDLzcfX9MCDY9,SE/RA/310182/1,Serie,1673,R0001234_00009,TEXT_HW,TEXT,1.0,0.0
R0001234_00089,R0001234_00089.jpg,https://lbiiif.riksarkivet.se/arkis!R0001234_00089/full/max/0/default.jpg,https://sok.riksarkivet.se/bildvisning/R0001234_00089,Kommission i Hälsingland ang trolldomsväsendet,Kommission i Hälsingland ang trolldomsväsendet,SE/RA/310182/1 ,1673,"Protokoll 11 - 14 februari 1673. Handlingar. Innehåller bl.a. votum och domar.
Skrivelse till Kungl. Maj:t och till rikskanslern 1673.",xyGE9XOnZIDLzcfX9MCDY9,SE/RA/310182/1,Serie,1673,R0001234_00089,MISC,PHOTO,1.0,0.0
R0001234_00029,R0001234_00029.jpg,https://lbiiif.riksarkivet.se/arkis!R0001234_00029/full/max/0/default.jpg,https://sok.riksarkivet.se/bildvisning/R0001234_00029,Kommission i Hälsingland ang trolldomsväsendet,Kommission i Hälsingland ang trolldomsväsendet,SE/RA/310182/1 ,1673,"Protokoll 11 - 14 februari 1673. Handlingar. Innehåller bl.a. votum och domar.
Skrivelse till Kungl. Maj:t och till rikskanslern 1673.",xyGE9XOnZIDLzcfX9MCDY9,SE/RA/310182/1,Serie,1673,R0001234_00029,TEXT_HW,TEXT,1.0,0.0
R0001234_00045,R0001234_00045.jpg,https://lbiiif.riksarkivet.se/arkis!R0001234_00045/full/max/0/default.jpg,https://sok.riksarkivet.se/bildvisning/R0001234_00045,Kommission i Hälsingland ang trolldomsväsendet,Kommission i Hälsingland ang trolldomsväsendet,SE/RA/310182/1 ,1673,"Protokoll 11 - 14 februari 1673. Handlingar. Innehåller bl.a. votum och domar.
Skrivelse till Kungl. Maj:t och till rikskanslern 1673.",xyGE9XOnZIDLzcfX9MCDY9,SE/RA/310182/1,Serie,1673,R0001234_00045,TEXT_HW,TEXT,1.0,0.0
R0001234_00056,R0001234_00056.jpg,https://lbiiif.riksarkivet.se/arkis!R0001234_00056/full/max/0/default.jpg,https://sok.riksarkivet.se/bildvisning/R0001234_00056,Kommission i Hälsingland ang trolldomsväsendet,Kommission i Hälsingland ang trolldomsväsendet,SE/RA/310182/1 ,1673,"Protokoll 11 - 14 februari 1673. Handlingar. Innehåller bl.a. votum och domar.
Skrivelse till Kungl. Maj:t och till rikskanslern 1673.",xyGE9XOnZIDLzcfX9MCDY9,SE/RA/310182/1,Serie,1673,R0001234_00056,TEXT_HW,MISC,0.781,0.217
A0060208_00051,A0060208_00051.jpg,https://lbiiif.riksarkivet.se/arkis!A0060208_00051/full/max/0/default.jpg,https://sok.riksarkivet.se/bildvisning/A0060208_00051,Kommissorialrätt i Västernorrland ang trolldomsväsendet,Kommissorialrätt i Västernorrland ang trolldomsväsendet,SE/RA/310183/1 ,1674-1675,"Protokoll 8 september - 1 december 1674. Med register. Omfattar endast Ångermanland.
Skrivelser till Kungl. Maj:t 1674, 1675 m.m.",zlJp1EUEtgVJ3Zw0EXfig3,SE/RA/310183/1,Serie,1674--1675,A0060208_00051,TEXT_HW,TEXT,1.0,0.0
A0060208_00183,A0060208_00183.jpg,https://lbiiif.riksarkivet.se/arkis!A0060208_00183/full/max/0/default.jpg,https://sok.riksarkivet.se/bildvisning/A0060208_00183,Kommissorialrätt i Västernorrland ang trolldomsväsendet,Kommissorialrätt i Västernorrland ang trolldomsväsendet,SE/RA/310183/1 ,1674-1675,"Protokoll 8 september - 1 december 1674. Med register. Omfattar endast Ångermanland.
Skrivelser till Kungl. Maj:t 1674, 1675 m.m.",zlJp1EUEtgVJ3Zw0EXfig3,SE/RA/310183/1,Serie,1674--1675,A0060208_00183,TEXT_HW,TEXT,1.0,0.0
A0060208_00287,A0060208_00287.jpg,https://lbiiif.riksarkivet.se/arkis!A0060208_00287/full/max/0/default.jpg,https://sok.riksarkivet.se/bildvisning/A0060208_00287,Kommissorialrätt i Västernorrland ang trolldomsväsendet,Kommissorialrätt i Västernorrland ang trolldomsväsendet,SE/RA/310183/1 ,1674-1675,"Protokoll 8 september - 1 december 1674. Med register. Omfattar endast Ångermanland.
Skrivelser till Kungl. Maj:t 1674, 1675 m.m.",zlJp1EUEtgVJ3Zw0EXfig3,SE/RA/310183/1,Serie,1674--1675,A0060208_00287,TEXT_HW,TEXT,1.0,0.0
A0060208_00256,A0060208_00256.jpg,https://lbiiif.riksarkivet.se/arkis!A0060208_00256/full/max/0/default.jpg,https://sok.riksarkivet.se/bildvisning/A0060208_00256,Kommissorialrätt i Västernorrland ang trolldomsväsendet,Kommissorialrätt i Västernorrland ang trolldomsväsendet,SE/RA/310183/1 ,1674-1675,"Protokoll 8 september - 1 december 1674. Med register. Omfattar endast Ångermanland.
Skrivelser till Kungl. Maj:t 1674, 1675 m.m.",zlJp1EUEtgVJ3Zw0EXfig3,SE/RA/310183/1,Serie,1674--1675,A0060208_00256,TEXT_HW,TEXT,1.0,0.0
A0060208_00309,A0060208_00309.jpg,https://lbiiif.riksarkivet.se/arkis!A0060208_00309/full/max/0/default.jpg,https://sok.riksarkivet.se/bildvisning/A0060208_00309,Kommissorialrätt i Västernorrland ang trolldomsväsendet,Kommissorialrätt i Västernorrland ang trolldomsväsendet,SE/RA/310183/1 ,1674-1675,"Protokoll 8 september - 1 december 1674. Med register. Omfattar endast Ångermanland.
Skrivelser till Kungl. Maj:t 1674, 1675 m.m.",zlJp1EUEtgVJ3Zw0EXfig3,SE/RA/310183/1,Serie,1674--1675,A0060208_00309,TEXT_HW,TEXT,1.0,0.0
A0060208_00114,A0060208_00114.jpg,https://lbiiif.riksarkivet.se/arkis!A0060208_00114/full/max/0/default.jpg,https://sok.riksarkivet.se/bildvisning/A0060208_00114,Kommissorialrätt i Västernorrland ang trolldomsväsendet,Kommissorialrätt i Västernorrland ang trolldomsväsendet,SE/RA/310183/1 ,1674-1675,"Protokoll 8 september - 1 december 1674. Med register. Omfattar endast Ångermanland.
Skrivelser till Kungl. Maj:t 1674, 1675 m.m.",zlJp1EUEtgVJ3Zw0EXfig3,SE/RA/310183/1,Serie,1674--1675,A0060208_00114,TEXT_HW,TEXT,1.0,0.0
A0060208_00242,A0060208_00242.jpg,https://lbiiif.riksarkivet.se/arkis!A0060208_00242/full/max/0/default.jpg,https://sok.riksarkivet.se/bildvisning/A0060208_00242,Kommissorialrätt i Västernorrland ang trolldomsväsendet,Kommissorialrätt i Västernorrland ang trolldomsväsendet,SE/RA/310183/1 ,1674-1675,"Protokoll 8 september - 1 december 1674. Med register. Omfattar endast Ångermanland.
Skrivelser till Kungl. Maj:t 1674, 1675 m.m.",zlJp1EUEtgVJ3Zw0EXfig3,SE/RA/310183/1,Serie,1674--1675,A0060208_00242,TEXT_HW,TEXT,1.0,0.0
A0060208_00219,A0060208_00219.jpg,https://lbiiif.riksarkivet.se/arkis!A0060208_00219/full/max/0/default.jpg,https://sok.riksarkivet.se/bildvisning/A0060208_00219,Kommissorialrätt i Västernorrland ang trolldomsväsendet,Kommissorialrätt i Västernorrland ang trolldomsväsendet,SE/RA/310183/1 ,1674-1675,"Protokoll 8 september - 1 december 1674. Med register. Omfattar endast Ångermanland.
Skrivelser till Kungl. Maj:t 1674, 1675 m.m.",zlJp1EUEtgVJ3Zw0EXfig3,SE/RA/310183/1,Serie,1674--1675,A0060208_00219,TEXT_HW,TEXT,1.0,0.0
R0001212_00001,R0001212_00001.jpg,https://lbiiif.riksarkivet.se/arkis!R0001212_00001/full/max/0/default.jpg,https://sok.riksarkivet.se/bildvisning/R0001212_00001,Kommission ang förfarandet vid trolldomsrannsakningarna,Kommission ang förfarandet vid trolldomsrannsakningarna,SE/RA/310184/1 ,1675,Kungl. konstitutorial 6 juni 1675.,MvFRdzh4Qo30xTyZvE9OOC,SE/RA/310184/1,Serie,1675,R0001212_00001,MISC,DRAW,1.0,0.0
R0001212_00002,R0001212_00002.jpg,https://lbiiif.riksarkivet.se/arkis!R0001212_00002/full/max/0/default.jpg,https://sok.riksarkivet.se/bildvisning/R0001212_00002,Kommission ang förfarandet vid trolldomsrannsakningarna,Kommission ang förfarandet vid trolldomsrannsakningarna,SE/RA/310184/1 ,1675,Kungl. konstitutorial 6 juni 1675.,MvFRdzh4Qo30xTyZvE9OOC,SE/RA/310184/1,Serie,1675,R0001212_00002,MISC,TEXT_TP,1.0,0.0
R0001212_00003,R0001212_00003.jpg,https://lbiiif.riksarkivet.se/arkis!R0001212_00003/full/max/0/default.jpg,https://sok.riksarkivet.se/bildvisning/R0001212_00003,Kommission ang förfarandet vid trolldomsrannsakningarna,Kommission ang förfarandet vid trolldomsrannsakningarna,SE/RA/310184/1 ,1675,Kungl. konstitutorial 6 juni 1675.,MvFRdzh4Qo30xTyZvE9OOC,SE/RA/310184/1,Serie,1675,R0001212_00003,TEXT_HW,TEXT,1.0,0.0
R0001212_00004,R0001212_00004.jpg,https://lbiiif.riksarkivet.se/arkis!R0001212_00004/full/max/0/default.jpg,https://sok.riksarkivet.se/bildvisning/R0001212_00004,Kommission ang förfarandet vid trolldomsrannsakningarna,Kommission ang förfarandet vid trolldomsrannsakningarna,SE/RA/310184/1 ,1675,Kungl. konstitutorial 6 juni 1675.,MvFRdzh4Qo30xTyZvE9OOC,SE/RA/310184/1,Serie,1675,R0001212_00004,MISC,PHOTO,1.0,0.0
