label,description
MISC,"En volymomslagssida eller titelsida med sparsam eller oregelbunden text"
MISC,"En blandad sida med layout-element snarare än innehållstext"
MISC,"En paratextuell eller dekorativ dokumentsida utanför huvudtexten"
LINE_HW,"En dokumentsida med handskrivna tabellrader och manuellt ifyllda fält"
LINE_HW,"Ett formulär med handskrivna poster organiserade i rader och kolumner"
LINE_HW,"En sida med strukturerad handskriven information i tabellformat"
LINE_HW,"Ett dokument med handskrivna celler och manuellt ifyllda tabellstrukturer"
LINE_HW,"En tabellbaserad dokumentsida med handskrivna anteckningar i varje rad"
LINE_TP,"En dokumentsida med tryckta tabellrader och maskinskrivna celler"
LINE_TP,"Ett strukturerat formulär med tryckta eller maskinskrivna poster i tabellformat"
PHOTO,"En dokumentsida med fotografier kompletterade med etiketter eller bildtexter"
PHOTO,"Ett fotografiskt motiv placerat i tabell- eller formulärliknande layout"
TEXT,"En dokumentsida med varierande textstilar och blandade textblock"
TEXT,"En sida med både tryckta och handskrivna textinslag i löpande form"
TEXT,"En blandad textsida med flera typer av textpresentation"
TEXT,"En dokumentsida där olika textstilar kombineras i samma layout"
TEXT,"En sida med text i flera format, exempelvis marginalanteckningar och huvudtext"
TEXT,"En dokumentsida med både strukturerad och ostrukturerad text"
TEXT_HW,"En dokumentsida med sammanhängande handskriven text i löpande form"
TEXT_HW,"En sida med handskrivna anteckningar organiserade i stycken"
TEXT_HW,"En textsida med handskrivna meningar och längre textblock"
TEXT_HW,"En dokumentsida med handskrivna rader i löpande textformat"
TEXT_HW,"En sida med handskrivna textstycken och marginalanteckningar"
TEXT_HW,"En textsida med tät handskrift och sammanhängande text"
TEXT_TP,"En dokumentsida med tryckt eller maskinskriven löptext i sammanhängande stycken"
TEXT_TP,"En sida med strukturerad tryckt text i längre textblock"
TEXT_TP,"En dokumentsida med ren tryckt text utan handskrivna inslag"
LINE_MIX,"En tabell eller formulär där handskriven, tryckt och maskinskriven text blandas i samma struktur"
MISC,"En dokumentsida med blandade element som inte tillhör dokumentets huvudsakliga innehåll"
